powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct
1011000,Powiat poddębicki,2024,650.0,39169.0,881.0,44.46,19369.0,19800.0,97.82,5934.0,11012.0,10668.0,-187.0,-0.48,1659.48,16.59,0.1515,0.2811,0.2724,rural,medium,122.23000000000002,7.95
1012000,Powiat radomszczański,2024,1507.0,105623.0,1443.0,73.2,51679.0,53944.0,95.8,16459.0,29772.0,29085.0,-1048.0,-0.98,1426.77,14.27,0.1558,0.2819,0.2754,rural,very_large,87.13999999999987,6.5
1013000,Powiat rawski,2024,798.0,45664.0,646.0,70.69,22484.0,23180.0,97.0,7168.0,12996.0,12009.0,-418.0,-0.91,1747.55,17.48,0.157,0.2846,0.263,rural,medium,-899.8999999999999,-33.99
1014000,Powiat sieradzki,2024,1863.0,110665.0,1491.0,74.22,53950.0,56715.0,95.12,17705.0,31096.0,29952.0,-812.0,-0.73,1683.46,16.83,0.16,0.281,0.2707,rural,very_large,-5239.04,-75.68
1015000,Powiat skierniewicki,2024,381.0,37670.0,753.0,50.03,18748.0,18922.0,99.08,6222.0,10935.0,9459.0,-117.0,-0.31,1011.41,10.11,0.1652,0.2903,0.2511,rural,medium,71.92999999999995,7.66
1016000,Powiat tomaszowski,2024,2986.0,109588.0,1025.0,106.92,52402.0,57186.0,91.63,17055.0,31142.0,28985.0,-1046.0,-0.95,2724.75,27.25,0.1556,0.2842,0.2645,suburban,very_large,-324.9499999999998,-10.66
1017000,Powiat wieluński,2024,1103.0,72013.0,926.0,77.77,35105.0,36908.0,95.11,11540.0,20368.0,19390.0,-573.0,-0.79,1531.67,15.32,0.1602,0.2828,0.2693,rural,large,319.32000000000016,26.34
1018000,Powiat wieruszowski,2024,511.0,41295.0,577.0,71.57,20407.0,20888.0,97.7,6905.0,12191.0,10582.0,-157.0,-0.38,1237.44,12.37,0.1672,0.2952,0.2563,rural,medium,-19.440000000000055,-1.55
1019000,Powiat zduńskowolski,2024,1006.0,62876.0,369.0,170.4,30388.0,32488.0,93.54,9547.0,18425.0,16747.0,-450.0,-0.71,1599.97,16.0,0.1518,0.293,0.2663,suburban,large,-1681.4599999999998,-51.24
1020000,Powiat zgierski,2024,2496.0,165840.0,855.0,193.96,79097.0,86743.0,91.19,24283.0,48993.0,44084.0,-500.0,-0.3,1505.07,15.05,0.1464,0.2954,0.2658,suburban,very_large,-152.3800000000001,-9.19
